cudagraph_mode,batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,1027,502465,2160,1.8165,135,280.29873333333336,509.16264910000007,100.0,78.0
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,0,6782237,64,2.7571,4,536.9590227272727,1480.4497215613635,100.0,28.204545454545453
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,1024,591660,2512,1.9994,157,297.0887575757576,593.9992618969698,100.0,82.0
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,1025,591372,2512,2.0004,157,296.855393939394,593.8295300363637,100.0,82.0
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,1026,591525,2512,2.0011,157,296.80742424242425,593.9413366515151,100.0,82.0
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,1027,591499,2512,2.0013,157,296.6008181818182,593.5872174272729,100.0,82.0
FULL,16,2422,1024,Qwen/Qwen3-8B_decoding,1024,820945,2880,2.2426,180,359.23988888888897,805.6313748222224,100.0,83.0
FULL,16,2422,1024,Qwen/Qwen3-8B_decoding,1025,785429,2880,2.2434,180,358.89775000000003,805.15121235,100.0,83.0
FULL,16,2422,1024,Qwen/Qwen3-8B_decoding,1026,785167,2880,2.2439,180,358.8785833333334,805.2876531416667,100.0,83.0
FULL,16,2422,1024,Qwen/Qwen3-8B_decoding,1027,820690,2880,2.2443,180,358.74025,805.120743075,100.0,83.0
NONE,16,330,256,Qwen/Qwen3-8B_prefill,0,965508,16,1.0328,1,102.38661111111111,105.74489195555554,100.0,4.277777777777778
FULL,16,330,256,Qwen/Qwen3-8B_decoding,256,984559,432,0.9714,27,111.25966666666666,108.0776402,100.0,26.0
FULL,16,330,256,Qwen/Qwen3-8B_decoding,257,123473,432,0.9726,27,122.93661111111113,119.56814796666669,100.0,26.0
FULL,16,330,256,Qwen/Qwen3-8B_decoding,258,982511,432,0.9706,27,123.03866666666666,119.42132986666665,100.0,26.0
FULL,16,330,256,Qwen/Qwen3-8B_decoding,259,981491,432,0.9708,27,123.18338888888889,119.58643393333332,100.0,26.0
NONE,16,630,256,Qwen/Qwen3-8B_prefill,0,1511258,48,1.6576,3,145.7729259259259,241.63320201481477,100.0,8.0
FULL,16,630,256,Qwen/Qwen3-8B_decoding,256,184097,816,1.1617,51,144.08035,167.378142595,100.0,41.0
FULL,16,630,256,Qwen/Qwen3-8B_decoding,257,168707,816,1.1627,51,153.4163333333333,178.37717076666667,100.0,41.0
FULL,16,630,256,Qwen/Qwen3-8B_decoding,258,184232,816,1.1627,51,153.11476190476188,178.02653366666664,100.0,41.0
FULL,16,630,256,Qwen/Qwen3-8B_decoding,259,168786,816,1.163,51,153.39609523809526,178.3996587619048,100.0,41.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding,256,1981652,1216,1.5616,76,165.859375,259.00600000000003,100.0,45.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding,257,1981605,1216,1.5627,76,165.6835,258.91360545000003,100.0,45.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding,258,1981216,1216,1.563,76,165.7999583333333,259.14533487499995,100.0,45.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding,259,264676,1216,1.5629,76,165.8455555555556,259.2000187777778,100.0,45.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,0,419738,96,1.761,6,247.45186666666666,435.76273719999995,100.0,14.0
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,256,341475,1616,1.7811,101,190.34976666666668,339.03196941,100.0,53.0
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,257,341537,1616,1.7831,101,190.18392857142857,339.11696303571426,100.0,53.0
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,258,2678732,1616,1.7831,101,190.04092592592593,338.86197501851854,100.0,53.0
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,259,2679030,1616,1.7833,101,190.3726666666667,339.49157646666674,100.0,53.0
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,0,3452096,112,1.6586,7,342.3204444444444,567.7726891555554,100.0,17.0
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,256,416794,2000,1.7925,125,232.442,416.652285,100.0,65.0
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,257,417416,2000,1.794,125,232.35600000000002,416.84666400000003,100.0,65.0
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,258,417202,2000,1.7943,125,232.44036666666665,417.06774991,100.0,65.0
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,259,417441,2000,1.7948,125,232.5051,417.30015348,100.0,65.0
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,0,709647,144,1.7997,9,395.37766666666664,711.5611867,100.0,20.1
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,256,493795,2400,1.8348,150,274.309,503.3021532,100.0,76.0
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,257,491988,2400,1.8399,150,274.08773333333335,504.29402056000004,100.0,76.0
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,258,492687,2400,1.8402,150,274.10779999999994,504.4131735599999,100.0,76.0
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,259,492867,2400,1.8406,150,274.6337333333333,505.49084957333326,100.0,76.0
