cudagraph_mode,batch_size,sm_clock,input_len,model_name,total_energy_based_avg_power_W
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,167.75241261271208
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,167.73074148600932
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,164.13753592551245
FULL,64,915,256,JunHowie/Qwen3-8B-GPTQ-Int8,163.26106741649343
FULL,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,150.8807350153868
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,144.64432508580782
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,226.84878516038893
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,221.11026705975556
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,217.05177287439247
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,199.4171955429543
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,174.62219840695371
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,166.73653115269659
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,271.57584691465405
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,261.65736110916504
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,267.5955892887976
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int8,254.63208345672479
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,216.3876637775385
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,203.1319776115667
FULL,512,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,344.402584218648
FULL,256,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,334.6741414955247
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,332.8495603467804
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,318.9892690675286
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int8,290.18096206908814
FULL,64,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,284.2749815342408
FULL,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,257.67963141564024
FULL,8,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,241.34954554190026
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,420.32542367997
FULL,256,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,403.2413941369567
FULL,128,2107,256,JunHowie/Qwen3-8B-GPTQ-Int8,388.1247934821742
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,384.1562537036119
FULL,64,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,335.25015848491057
FULL,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,278.74098264337647
FULL,8,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,273.9207465527606
FULL,512,2400,256,JunHowie/Qwen3-8B-GPTQ-Int8,541.5860197825205
FULL,512,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,553.8043383041664
FULL,256,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,532.9786125012657
FULL,128,2385,256,JunHowie/Qwen3-8B-GPTQ-Int8,506.7593346461414
FULL,64,2415,256,JunHowie/Qwen3-8B-GPTQ-Int8,424.85153699991
FULL,16,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,342.9432396148698
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,315.2514904800115
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,97.95767436499871
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,96.64392178082458
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,95.93461069800388
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,94.534343151448
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,94.51728217824281
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,91.53319692685979
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,137.2383776386076
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,134.93400909138407
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,132.38549524786256
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,129.97188946726374
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,125.2670110196452
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,118.3643082811585
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,164.37294266918633
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,161.434890769911
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,158.102617603207
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,158.77127852753605
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,154.43506976658733
FULL,16,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,142.1078177570515
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,132.7874844394219
FULL,8,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,132.88514559956099
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,215.92276515295362
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,211.37529723730725
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,206.57225325450088
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,196.8769244597925
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,168.69989116459368
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,155.335276333481
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,250.53228856672536
