batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J
16,330,256,Qwen/Qwen3-8B,293,1175370,4320,9.6297,270,121.16704255319151,1166.8022696744683
16,330,256,Qwen/Qwen3-8B,294,1173627,4320,9.6523,270,121.13225531914892,1169.2048680170212
16,330,256,Qwen/Qwen3-8B,295,1161592,4320,9.6498,270,121.05308510638298,1168.1380606595746
16,330,256,Qwen/Qwen3-8B,296,1162576,4320,9.6439,270,121.12297872340424,1168.0978945106383
16,330,256,Qwen/Qwen3-8B,297,1173769,4320,9.6475,270,121.06087234042553,1167.9347659042555
16,330,256,Qwen/Qwen3-8B,298,1174224,4320,9.6456,270,121.08912765957446,1167.9772897531914
16,330,256,Qwen/Qwen3-8B,299,1161291,4320,9.6535,270,121.20102127659575,1170.014058893617
16,330,256,Qwen/Qwen3-8B,300,1161820,4320,9.6426,270,121.24382978723402,1169.1057531063827
16,330,256,Qwen/Qwen3-8B,301,1174524,4320,9.6345,270,121.29797872340426,1168.6453760106383
16,330,256,Qwen/Qwen3-8B,302,1175210,4320,9.6319,270,121.17655319148938,1167.1604426851065
8,330,256,Qwen/Qwen3-8B,257,1209873,2400,10.0427,300,119.84700000000001,1203.5874669
8,330,256,Qwen/Qwen3-8B,258,1198440,2400,10.0386,300,119.90683673469387,1203.696771244898
8,330,256,Qwen/Qwen3-8B,259,1210541,2400,10.0499,300,119.77675510204081,1203.7444110999998
8,330,256,Qwen/Qwen3-8B,260,1197622,2400,10.0533,300,119.7525306122449,1203.9081160040816
8,330,256,Qwen/Qwen3-8B,261,1197333,2400,10.0558,300,120.0270612244898,1206.9681222612244
8,330,256,Qwen/Qwen3-8B,262,1209460,2400,10.0511,300,119.85175510204081,1204.6419757061224
8,330,256,Qwen/Qwen3-8B,263,1210067,2400,10.053,300,119.80804081632652,1204.4302343265306
8,330,256,Qwen/Qwen3-8B,264,1197531,2400,10.0639,300,119.7321836734694,1204.9727232714285
8,330,256,Qwen/Qwen3-8B,265,1197782,2400,10.0565,300,119.91606122448981,1205.9358697040818
8,330,256,Qwen/Qwen3-8B,266,1211091,2400,10.0577,300,119.68822448979591,1203.7882554510204
8,330,256,Qwen/Qwen3-8B,267,1209723,2400,10.0614,300,119.81577551020408,1205.5144437183674
8,330,256,Qwen/Qwen3-8B,268,1210211,2400,10.0643,300,119.96630612244898,1207.3768947081633
8,330,256,Qwen/Qwen3-8B,269,1199011,2400,10.0647,300,120.04808163265305,1208.2479272081632
8,330,256,Qwen/Qwen3-8B,270,1199711,2400,10.0579,300,120.08744897959184,1207.8275530918368
8,330,256,Qwen/Qwen3-8B,271,1212632,2400,10.0577,300,120.07097959183672,1207.6378914408162
8,330,256,Qwen/Qwen3-8B,272,1211787,2400,10.0656,300,120.39800000000001,1211.8781088
8,330,256,Qwen/Qwen3-8B,273,1210698,2400,10.0757,300,119.99928571428572,1209.0768030714285
8,330,256,Qwen/Qwen3-8B,274,1213259,2400,10.0713,300,119.99587755102043,1208.514481579592
8,330,256,Qwen/Qwen3-8B,275,1199915,2400,10.0654,300,120.2241836734694,1210.104498346939
8,330,256,Qwen/Qwen3-8B,276,1201636,2400,10.0348,300,120.31542857142857,1207.3412626285715
8,330,256,Qwen/Qwen3-8B,277,1204040,2400,10.0138,300,120.7231224489796,1208.8972035795919
8,330,256,Qwen/Qwen3-8B,278,1215036,2400,10.021,300,120.49422448979591,1207.472623612245
8,330,256,Qwen/Qwen3-8B,279,1204421,2400,10.0202,300,120.5845918367347,1208.2817271224492
8,330,256,Qwen/Qwen3-8B,280,1204250,2400,10.0205,300,120.47836734693877,1207.2534799999999
8,330,256,Qwen/Qwen3-8B,281,1216565,2400,10.0154,300,120.76951020408164,1209.5549524979592
8,330,256,Qwen/Qwen3-8B,282,1204608,2400,10.0262,300,120.50359183673469,1208.1931124734692
8,330,256,Qwen/Qwen3-8B,283,1204798,2400,10.0199,300,120.65244897959184,1208.9254735306122
8,330,256,Qwen/Qwen3-8B,284,1205304,2400,10.0197,300,120.69916326530613,1209.3694061693877
8,330,256,Qwen/Qwen3-8B,285,1206531,2400,10.0144,300,120.84702040816329,1210.2104011755105
8,330,256,Qwen/Qwen3-8B,286,1205374,2400,10.0285,300,120.65240816326532,1209.9626752653062
8,330,256,Qwen/Qwen3-8B,287,1205839,2400,10.0221,300,120.637,1209.0360777
8,330,256,Qwen/Qwen3-8B,288,1205930,2400,10.0244,300,120.73357142857142,1210.2816134285713
8,330,256,Qwen/Qwen3-8B,289,1217645,2400,10.0283,300,120.48828571428572,1208.2926756285715
8,330,256,Qwen/Qwen3-8B,290,1206342,2400,10.0203,300,120.8739387755102,1211.193128712245
8,330,256,Qwen/Qwen3-8B,291,1206355,2400,10.0234,300,120.62510204081632,1209.0736477959183
8,330,256,Qwen/Qwen3-8B,292,1206366,2400,10.0274,300,120.60322448979592,1209.3367732489796
8,330,256,Qwen/Qwen3-8B,293,1205656,2400,10.0398,300,120.68816326530612,1211.6850215510203
8,330,256,Qwen/Qwen3-8B,294,1205957,2400,10.0391,300,120.72179591836733,1211.9381814040814
8,330,256,Qwen/Qwen3-8B,295,1217927,2400,10.0432,300,120.82440816326532,1213.4636960653063
8,330,256,Qwen/Qwen3-8B,296,1206234,2400,10.0451,300,120.72936734693877,1212.7385679367346
