model_name,sm_clock,curr_batch_size,curr_throughput,prev_batch_size,prev_throughput,abs_increase,pct_increase
nvidia/Qwen3-8B-FP8,2422,64,7553.063271680988,16.0,2135.029950402786,5418.033321278202,253.76849258044635
nvidia/Qwen3-8B-NVFP4,330,16,414.32168548866633,8.0,213.24305478918873,201.0786306994776,94.29551217893739
nvidia/Qwen3-8B-NVFP4,330,64,1545.1722192963289,16.0,414.32168548866633,1130.8505338076625,272.9402233614433
nvidia/Qwen3-8B-NVFP4,330,128,2636.864370474924,64.0,1545.1722192963289,1091.692151178595,70.65181068785662
nvidia/Qwen3-8B-NVFP4,330,256,3850.0122246561873,128.0,2636.864370474924,1213.1478541812635,46.00721477239894
nvidia/Qwen3-8B-NVFP4,330,512,4807.7363469753445,256.0,3850.0122246561873,957.7241223191572,24.875872242319534
nvidia/Qwen3-8B-NVFP4,630,16,710.5636121548813,8.0,363.00877952655236,347.55483262832894,95.74281731742715
nvidia/Qwen3-8B-NVFP4,630,64,2714.4340674286063,16.0,710.5636121548813,2003.870455273725,282.01140911180545
nvidia/Qwen3-8B-NVFP4,630,128,4781.0516364337545,64.0,2714.4340674286063,2066.617569005148,76.1343807832055
nvidia/Qwen3-8B-NVFP4,630,256,6935.9568625485745,128.0,4781.0516364337545,2154.90522611482,45.07178315526812
nvidia/Qwen3-8B-NVFP4,630,512,8695.387662174842,256.0,6935.9568625485745,1759.4307996262678,25.366807125437855
nvidia/Qwen3-8B-NVFP4,922,128,6066.23690496325,64.0,3449.768068498061,2616.468836465189,75.84477519975222
nvidia/Qwen3-8B-NVFP4,922,256,8749.203110301727,128.0,6066.23690496325,2682.9662053384773,44.22785076434022
nvidia/Qwen3-8B-NVFP4,922,512,11055.221701101305,256.0,8749.203110301727,2306.0185907995783,26.35689858524787
nvidia/Qwen3-8B-NVFP4,930,16,907.5288987418485,8.0,453.6133351582862,453.9155635835623,100.06662688282096
nvidia/Qwen3-8B-NVFP4,930,64,3449.410993748928,16.0,907.5288987418485,2541.8820950070794,280.0882813242657
nvidia/Qwen3-8B-NVFP4,930,512,10951.696947380453,64.0,3449.410993748928,7502.2859536315245,217.4946959706244
nvidia/Qwen3-8B-NVFP4,1230,16,1151.4950847798111,8.0,583.685019784191,567.8100649956201,97.28021891080219
nvidia/Qwen3-8B-NVFP4,1230,64,4339.949248547062,16.0,1151.4950847798111,3188.454163767251,276.89689742591884
nvidia/Qwen3-8B-NVFP4,1230,128,7530.236447624899,64.0,4339.949248547062,3190.2871990778367,73.50978125253165
nvidia/Qwen3-8B-NVFP4,1230,256,10771.903048307766,128.0,7530.236447624899,3241.6666006828673,43.048669497029096
nvidia/Qwen3-8B-NVFP4,1230,512,13151.102573333228,256.0,10771.903048307766,2379.199525025462,22.087086324075553
nvidia/Qwen3-8B-NVFP4,1522,256,13158.592136861776,128.0,9165.644512010054,3992.947624851722,43.5642863916403
nvidia/Qwen3-8B-NVFP4,1530,16,1403.2946273965458,8.0,712.4314872229913,690.8631401735545,96.9725724597731
nvidia/Qwen3-8B-NVFP4,1530,64,5292.917380776755,16.0,1403.2946273965458,3889.622753380209,277.1779124243074
nvidia/Qwen3-8B-NVFP4,1530,512,16091.447524386269,64.0,5292.917380776755,10798.530143609514,204.01849049880298
nvidia/Qwen3-8B-NVFP4,1815,256,15165.557494047194,128.0,10611.329156562897,4554.228337484297,42.918547434442715
nvidia/Qwen3-8B-NVFP4,1815,512,18595.821631150582,256.0,15165.557494047194,3430.264137103388,22.61878034124258
nvidia/Qwen3-8B-NVFP4,1830,16,1649.83092853165,8.0,838.06401383395,811.7669146977,96.86216103994887
nvidia/Qwen3-8B-NVFP4,2115,512,19745.53307778042,128.0,11418.213408251873,8327.319669528546,72.93014565230006
nvidia/Qwen3-8B-NVFP4,2130,16,1873.9164944259915,8.0,954.3659336465442,919.5505607794472,96.35198914382131
nvidia/Qwen3-8B-NVFP4,2407,512,20327.983305632053,256.0,17186.41698182073,3141.566323811323,18.279355883977306
nvidia/Qwen3-8B-NVFP4,2422,64,7445.910694417193,16.0,2025.3471907095923,5420.563503707601,267.63626150479786
